invoice_id,product_code,description,volume,date,unit_price,customer_id
544646,85099F,JUMBO BAG STRAWBERRY,2,2019-12-31,46.80,17075
544646,85099B,JUMBO BAG RED RETROSPOT,2,2019-12-31,46.80,17075
544646,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2019-12-31,46.80,17075
544646,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2019-12-31,46.80,17075
544646,22084,PAPER CHAIN KIT EMPIRE,6,2019-12-31,70.80,17075
544646,22090,PAPER BUNTING RETROSPOT,4,2019-12-31,70.80,17075
544647,15036,ASSORTED COLOURS SILK FAN,24,2019-12-31,18.00,14060
544648,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2019-12-31,61.20,15722
544650,22489,PACK OF 12 TRADITIONAL CRAYONS,1,2019-12-31,10.08,16349
544651,22993,SET OF 4 PANTRY JELLY MOULDS,72,2019-12-31,25.44,13694
544651,21232,STRAWBERRY CERAMIC TRINKET BOX,144,2019-12-31,25.44,13694
544651,84992,72 SWEETHEART FAIRY CAKE CASES,120,2019-12-31,10.08,13694
544651,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2019-12-31,10.08,13694
544651,84978,HANGING HEART JAR T-LIGHT HOLDER,144,2019-12-31,25.44,13694
544651,21213,PACK OF 72 SKULL CAKE CASES,120,2019-12-31,10.08,13694
544652,22090,PAPER BUNTING RETROSPOT,40,2019-12-31,61.20,13694
544654,22440,BALLOON WATER BOMB PACK OF 35,2,2019-12-31,10.08,16913
544656,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2019-12-31,13.20,17442
544656,22659,LUNCH BOX I LOVE LONDON,12,2019-12-31,46.80,17442
544656,21915,RED  HARMONICA IN BOX,12,2019-12-31,30.00,17442
544656,22616,PACK OF 12 LONDON TISSUES,24,2019-12-31,6.96,17442
544656,23231,WRAP DOILEY DESIGN,25,2019-12-31,10.08,17442
544657,22699,ROSES REGENCY TEACUP AND SAUCER,6,2019-12-31,70.80,14895
544657,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2019-12-31,25.44,14895
544657,23231,WRAP DOILEY DESIGN,25,2019-12-31,10.08,14895
544657,22630,DOLLY GIRL LUNCH BOX,12,2019-12-31,46.80,14895
544657,20725,LUNCH BAG RED RETROSPOT,10,2019-12-31,39.60,14895
544657,22084,PAPER CHAIN KIT EMPIRE,12,2019-12-31,70.80,14895
544657,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2019-12-31,13.20,14895
544657,84991,60 TEATIME FAIRY CAKE CASES,24,2019-12-31,13.20,14895
544657,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2019-12-31,13.20,14895
544657,22090,PAPER BUNTING RETROSPOT,6,2019-12-31,70.80,14895
544657,47566,PARTY BUNTING,4,2019-12-31,118.80,14895
544657,22993,SET OF 4 PANTRY JELLY MOULDS,12,2019-12-31,30.00,14895
544657,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2019-12-31,61.20,14895
544657,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2019-12-31,30.00,14895
544657,22151,PLACE SETTING WHITE HEART,24,2019-12-31,10.08,14895
544657,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2019-12-31,70.80,14895
544660,22699,ROSES REGENCY TEACUP AND SAUCER,6,2019-12-31,70.80,15078
544660,22423,REGENCY CAKESTAND 3 TIER,2,2019-12-31,306.00,15078
544660,22961,JAM MAKING SET PRINTED,12,2019-12-31,34.80,15078
544660,22993,SET OF 4 PANTRY JELLY MOULDS,12,2019-12-31,30.00,15078
544660,22084,PAPER CHAIN KIT EMPIRE,6,2019-12-31,70.80,15078
544660,22382,LUNCH BAG SPACEBOY DESIGN,10,2019-12-31,39.60,15078
544660,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2019-12-31,39.60,15078
544660,22383,LUNCH BAG SUKI  DESIGN,10,2019-12-31,39.60,15078
544660,22385,JUMBO BAG SPACEBOY DESIGN,10,2019-12-31,46.80,15078
544660,22090,PAPER BUNTING RETROSPOT,6,2019-12-31,70.80,15078
544661,22423,REGENCY CAKESTAND 3 TIER,1,2019-12-31,306.00,15303
544661,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2019-12-31,70.80,15303
544661,22382,LUNCH BAG SPACEBOY DESIGN,10,2019-12-31,39.60,15303
544662,21915,RED  HARMONICA IN BOX,1,2019-12-31,30.00,12845
544662,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2019-12-31,13.20,12845
544663,47566,PARTY BUNTING,6,2019-12-31,118.80,18188
544663,22084,PAPER CHAIN KIT EMPIRE,12,2019-12-31,70.80,18188
544663,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,2019-12-31,46.80,18188
544664,22969,HOMEMADE JAM SCENTED CANDLES,12,2019-12-31,34.80,16045
544664,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2019-12-31,30.00,16045
544664,22423,REGENCY CAKESTAND 3 TIER,2,2019-12-31,306.00,16045
544664,22699,ROSES REGENCY TEACUP AND SAUCER,6,2019-12-31,70.80,16045
544666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2019-12-31,70.80,16907
544667,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,17511
544667,22993,SET OF 4 PANTRY JELLY MOULDS,72,2019-12-31,25.44,17511
544667,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2019-12-31,61.20,17511
544667,21232,STRAWBERRY CERAMIC TRINKET BOX,72,2019-12-31,25.44,17511
544667,85099B,JUMBO BAG RED RETROSPOT,100,2019-12-31,39.60,17511
544667,20727,LUNCH BAG  BLACK SKULL.,100,2019-12-31,34.80,17511
544667,22084,PAPER CHAIN KIT EMPIRE,40,2019-12-31,61.20,17511
544667,21931,JUMBO STORAGE BAG SUKI,100,2019-12-31,39.60,17511
544667,22386,JUMBO BAG PINK POLKADOT,100,2019-12-31,39.60,17511
544667,22197,SMALL POPCORN HOLDER,100,2019-12-31,17.28,17511
544668,22423,REGENCY CAKESTAND 3 TIER,2,2019-12-31,306.00,16573
544668,22699,ROSES REGENCY TEACUP AND SAUCER,12,2019-12-31,70.80,16573
544668,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2019-12-31,70.80,16573
544668,22469,HEART OF WICKER SMALL,12,2019-12-31,39.60,16573
C544669,22423,REGENCY CAKESTAND 3 TIER,-1,2019-12-31,306.00,18055
544672,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2019-12-31,10.08,14646
544672,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2019-12-31,10.08,14646
544672,20719,WOODLAND CHARLOTTE BAG,100,2019-12-31,17.28,14646
544672,85099B,JUMBO BAG RED RETROSPOT,100,2019-12-31,39.60,14646
544672,22629,SPACEBOY LUNCH BOX,128,2019-12-31,39.60,14646
544672,22356,CHARLOTTE BAG PINK POLKADOT,100,2019-12-31,17.28,14646
544672,22386,JUMBO BAG PINK POLKADOT,100,2019-12-31,39.60,14646
544672,22961,JAM MAKING SET PRINTED,96,2019-12-31,30.00,14646
544672,21080,SET/20 RED RETROSPOT PAPER NAPKINS,96,2019-12-31,17.28,14646
544672,20723,STRAWBERRY CHARLOTTE BAG,100,2019-12-31,17.28,14646
544672,22489,PACK OF 12 TRADITIONAL CRAYONS,144,2019-12-31,8.64,14646
544672,21094,SET/6 RED SPOTTY PAPER PLATES,96,2019-12-31,15.36,14646
544672,85099F,JUMBO BAG STRAWBERRY,100,2019-12-31,39.60,14646
544673,22197,SMALL POPCORN HOLDER,2,2019-12-31,20.40,13421
544673,22998,TRAVEL CARD WALLET KEEP CALM,1,2019-12-31,10.08,13421
544673,21931,JUMBO STORAGE BAG SUKI,10,2019-12-31,46.80,13421
544673,85099B,JUMBO BAG RED RETROSPOT,20,2019-12-31,46.80,13421
544673,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2019-12-31,46.80,13421
544673,22969,HOMEMADE JAM SCENTED CANDLES,12,2019-12-31,34.80,13421
544673,22084,PAPER CHAIN KIT EMPIRE,6,2019-12-31,70.80,13421
544673,22741,FUNKY DIVA PEN,48,2019-12-31,20.40,13421
544673,22740,POLKADOT PEN,48,2019-12-31,20.40,13421
544673,21080,SET/20 RED RETROSPOT PAPER NAPKINS,10,2019-12-31,20.40,13421
544673,22993,SET OF 4 PANTRY JELLY MOULDS,6,2019-12-31,30.00,13421
544676,22998,TRAVEL CARD WALLET KEEP CALM,2,2019-12-31,10.08,17841
544676,21213,PACK OF 72 SKULL CAKE CASES,3,2019-12-31,13.20,17841
544676,85099F,JUMBO BAG STRAWBERRY,2,2019-12-31,46.80,17841
544677,22469,HEART OF WICKER SMALL,4,2019-12-31,39.60,18196
544677,22423,REGENCY CAKESTAND 3 TIER,2,2019-12-31,306.00,18196
544677,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2019-12-31,70.80,18196
544677,22699,ROSES REGENCY TEACUP AND SAUCER,3,2019-12-31,70.80,18196
544677,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2019-12-31,40.56,18196
544677,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2019-12-31,30.00,18196
544677,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2019-12-31,20.40,18196
544678,22151,PLACE SETTING WHITE HEART,5,2019-12-31,10.08,13077
544678,23231,WRAP DOILEY DESIGN,25,2019-12-31,10.08,13077
544680,21790,VINTAGE SNAP CARDS,2,2019-12-31,20.40,13077
544681,20719,WOODLAND CHARLOTTE BAG,2,2019-12-31,39.12,NA
544681,20723,STRAWBERRY CHARLOTTE BAG,1,2019-12-31,39.12,NA
544681,22961,JAM MAKING SET PRINTED,3,2019-12-31,78.96,NA
544681,22998,TRAVEL CARD WALLET KEEP CALM,5,2019-12-31,19.92,NA
544681,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2019-12-31,29.76,NA
544681,84970S,HANGING HEART ZINC T-LIGHT HOLDER,6,2019-12-31,49.92,NA
544681,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2019-12-31,59.04,NA
544681,84991,60 TEATIME FAIRY CAKE CASES,2,2019-12-31,30.00,NA
544681,84992,72 SWEETHEART FAIRY CAKE CASES,2,2019-12-31,30.00,NA
544681,85099B,JUMBO BAG RED RETROSPOT,2,2019-12-31,99.12,NA
544681,85099F,JUMBO BAG STRAWBERRY,1,2019-12-31,99.12,NA
544681,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2019-12-31,138.96,NA
544681,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2019-12-31,30.00,NA
544681,21929,JUMBO BAG PINK VINTAGE PAISLEY,1,2019-12-31,99.12,NA
544681,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2019-12-31,30.00,NA
544681,22084,PAPER CHAIN KIT EMPIRE,3,2019-12-31,138.96,NA
544681,22090,PAPER BUNTING RETROSPOT,1,2019-12-31,138.96,NA
544681,22197,SMALL POPCORN HOLDER,4,2019-12-31,39.12,NA
544681,22469,HEART OF WICKER SMALL,1,2019-12-31,78.96,NA
544681,22699,ROSES REGENCY TEACUP AND SAUCER,1,2019-12-31,138.96,NA
544681,22740,POLKADOT PEN,1,2019-12-31,39.12,NA
544681,85099F,JUMBO BAG STRAWBERRY,4,2019-12-31,46.80,NA
544681,21977,PACK OF 60 PINK PAISLEY CAKE CASES,15,2019-12-31,13.20,NA
C544682,85099F,JUMBO BAG STRAWBERRY,-1,2019-12-31,39.60,17511
C544682,22659,LUNCH BOX I LOVE LONDON,-2,2019-12-31,39.60,17511
544684,22699,ROSES REGENCY TEACUP AND SAUCER,2,2019-12-31,138.96,NA
544684,22961,JAM MAKING SET PRINTED,3,2019-12-31,78.96,NA
544684,22993,SET OF 4 PANTRY JELLY MOULDS,1,2019-12-31,60.00,NA
544684,22998,TRAVEL CARD WALLET KEEP CALM,2,2019-12-31,19.92,NA
544684,47566,PARTY BUNTING,6,2019-12-31,258.96,NA
544684,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1,2019-12-31,49.92,NA
544684,84978,HANGING HEART JAR T-LIGHT HOLDER,6,2019-12-31,59.04,NA
544684,84992,72 SWEETHEART FAIRY CAKE CASES,1,2019-12-31,30.00,NA
544684,85099F,JUMBO BAG STRAWBERRY,2,2019-12-31,99.12,NA
544684,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2019-12-31,138.96,NA
544684,21080,SET/20 RED RETROSPOT PAPER NAPKINS,2,2019-12-31,39.12,NA
544684,21094,SET/6 RED SPOTTY PAPER PLATES,6,2019-12-31,19.92,NA
544684,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2019-12-31,30.00,NA
544684,20727,LUNCH BAG  BLACK SKULL.,1,2019-12-31,99.12,NA
544684,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2019-12-31,78.96,NA
544684,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,2019-12-31,19.92,NA
544684,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2019-12-31,30.00,NA
544684,22090,PAPER BUNTING RETROSPOT,2,2019-12-31,138.96,NA
544684,22151,PLACE SETTING WHITE HEART,12,2019-12-31,39.12,NA
544684,22178,VICTORIAN GLASS HANGING T-LIGHT,4,2019-12-31,59.04,NA
544684,22383,LUNCH BAG SUKI DESIGN,1,2019-12-31,99.12,NA
544684,22385,JUMBO BAG SPACEBOY DESIGN,1,2019-12-31,99.12,NA
544684,22469,HEART OF WICKER SMALL,4,2019-12-31,78.96,NA
544684,22489,PACK OF 12 TRADITIONAL CRAYONS,3,2019-12-31,19.92,NA
544684,85099F,JUMBO BAG STRAWBERRY,4,2019-12-31,46.80,NA
544684,21977,PACK OF 60 PINK PAISLEY CAKE CASES,11,2019-12-31,13.20,NA
544685,22423,REGENCY CAKESTAND 3 TIER,1,2019-12-31,306.00,13285
544685,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2019-12-31,20.40,13285
544685,23232,WRAP VINTAGE PETALS  DESIGN,25,2019-12-31,10.08,13285
544685,23231,WRAP DOILEY DESIGN,25,2019-12-31,10.08,13285
544685,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,13285
544685,20728,LUNCH BAG CARS BLUE,10,2019-12-31,39.60,13285
544685,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2019-12-31,39.60,13285
544685,22383,LUNCH BAG SUKI  DESIGN,10,2019-12-31,39.60,13285
544685,20725,LUNCH BAG RED RETROSPOT,10,2019-12-31,39.60,13285
544685,22384,LUNCH BAG PINK POLKADOT,10,2019-12-31,39.60,13285
544685,22382,LUNCH BAG SPACEBOY DESIGN,10,2019-12-31,39.60,13285
544685,22355,CHARLOTTE BAG SUKI DESIGN,10,2019-12-31,20.40,13285
544685,20724,RED RETROSPOT CHARLOTTE BAG,10,2019-12-31,20.40,13285
544685,22356,CHARLOTTE BAG PINK POLKADOT,10,2019-12-31,20.40,13285
544686,22385,JUMBO BAG SPACEBOY DESIGN,1,2019-12-31,46.80,12748
544686,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2019-12-31,46.80,12748
544687,22993,SET OF 4 PANTRY JELLY MOULDS,1,2019-12-31,30.00,13184
544690,22423,REGENCY CAKESTAND 3 TIER,16,2020-01-01,262.80,14156
544690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2020-01-01,61.20,14156
544690,22197,SMALL POPCORN HOLDER,400,2020-01-01,17.28,14156
544691,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2020-01-01,13.20,13804
544691,22969,HOMEMADE JAM SCENTED CANDLES,12,2020-01-01,34.80,13804
544691,22084,PAPER CHAIN KIT EMPIRE,6,2020-01-01,70.80,13804
544692,21498,RED RETROSPOT WRAP,25,2020-01-01,10.08,17499
544692,22741,FUNKY DIVA PEN,48,2020-01-01,20.40,17499
544692,22740,POLKADOT PEN,48,2020-01-01,20.40,17499
544692,21829,DINOSAUR KEYRINGS ASSORTED,36,2020-01-01,5.04,17499
544692,22382,LUNCH BAG SPACEBOY DESIGN,10,2020-01-01,39.60,17499
544692,22616,PACK OF 12 LONDON TISSUES,24,2020-01-01,6.96,17499
544694,22423,REGENCY CAKESTAND 3 TIER,4,2020-01-01,306.00,17706
544694,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2020-01-01,39.60,17706
544694,20728,LUNCH BAG CARS BLUE,10,2020-01-01,39.60,17706
544694,23230,WRAP ALPHABET DESIGN,25,2020-01-01,10.08,17706
544694,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2020-01-01,40.56,17706
544695,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2020-01-01,20.40,14276
544695,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2020-01-01,30.00,14276
544695,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2020-01-01,20.40,14276
544695,84991,60 TEATIME FAIRY CAKE CASES,24,2020-01-01,13.20,14276
544695,84992,72 SWEETHEART FAIRY CAKE CASES,24,2020-01-01,13.20,14276
544695,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2020-01-01,13.20,14276
544695,21915,RED  HARMONICA IN BOX,12,2020-01-01,30.00,14276
544695,20728,LUNCH BAG CARS BLUE,10,2020-01-01,39.60,14276
C544696,22961,JAM MAKING SET PRINTED,-12,2020-01-01,34.80,14735
544697,22469,HEART OF WICKER SMALL,12,2020-01-01,39.60,13453
544697,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2020-01-01,61.20,13453
544698,22197,SMALL POPCORN HOLDER,360,2020-01-01,17.28,17949
544699,22197,SMALL POPCORN HOLDER,240,2020-01-01,17.28,17949
544700,21915,RED  HARMONICA IN BOX,12,2020-01-01,30.00,18041
544700,20712,JUMBO BAG WOODLAND ANIMALS,1,2020-01-01,46.80,18041
544701,22993,SET OF 4 PANTRY JELLY MOULDS,12,2020-01-01,30.00,17428
544701,22961,JAM MAKING SET PRINTED,12,2020-01-01,34.80,17428
544701,21915,RED  HARMONICA IN BOX,12,2020-01-01,30.00,17428
544701,22630,DOLLY GIRL LUNCH BOX,12,2020-01-01,46.80,17428
544702,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2020-01-01,13.20,17135
544702,21232,STRAWBERRY CERAMIC TRINKET BOX,72,2020-01-01,25.44,17135
544717,20974,12 PENCILS SMALL TUBE SKULL,24,2020-01-01,15.60,18172
544749,22699,ROSES REGENCY TEACUP AND SAUCER,4,2020-01-01,70.80,15373
544766,22197,SMALL POPCORN HOLDER,3,2020-01-01,39.12,NA
544766,22383,LUNCH BAG SUKI  DESIGN,1,2020-01-01,119.04,NA
544766,22385,JUMBO BAG SPACEBOY DESIGN,1,2020-01-01,99.12,NA
544766,22386,JUMBO BAG PINK POLKADOT,1,2020-01-01,99.12,NA
544766,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2020-01-01,99.12,NA
544766,22469,HEART OF WICKER SMALL,1,2020-01-01,99.12,NA
544766,75049L,LARGE CIRCULAR MIRROR MOBILE,1,2020-01-01,59.04,NA
544766,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2020-01-01,119.04,NA
544766,85099B,JUMBO BAG RED RETROSPOT,1,2020-01-01,99.12,NA
544766,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2020-01-01,99.12,NA
544766,20712,JUMBO BAG WOODLAND ANIMALS,2,2020-01-01,99.12,NA
544766,20725,LUNCH BAG RED RETROSPOT,4,2020-01-01,119.04,NA
544766,21928,JUMBO BAG SCANDINAVIAN PAISLEY,5,2020-01-01,99.12,NA
544766,21931,JUMBO STORAGE BAG SUKI,1,2020-01-01,99.12,NA
544767,20712,JUMBO BAG WOODLAND ANIMALS,4,2020-01-01,99.12,NA
544767,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2020-01-01,99.12,NA
544767,21931,JUMBO STORAGE BAG SUKI,1,2020-01-01,99.12,NA
544767,22383,LUNCH BAG SUKI  DESIGN,2,2020-01-01,119.04,NA
544767,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2020-01-01,99.12,NA
544767,22469,HEART OF WICKER SMALL,3,2020-01-01,99.12,NA
544768,20712,JUMBO BAG WOODLAND ANIMALS,3,2020-01-01,99.12,NA
544768,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2020-01-01,99.12,NA
544768,22197,SMALL POPCORN HOLDER,1,2020-01-01,39.12,NA
544768,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2020-01-01,99.12,NA
544768,22469,HEART OF WICKER SMALL,2,2020-01-01,99.12,NA
544768,22699,ROSES REGENCY TEACUP AND SAUCER,5,2020-01-01,138.96,NA
544768,85099B,JUMBO BAG RED RETROSPOT,7,2020-01-01,99.12,NA
544769,22084,PAPER CHAIN KIT EMPIRE,6,2020-01-01,70.80,16422
544770,20712,JUMBO BAG WOODLAND ANIMALS,1,2020-01-01,99.12,NA
544770,20725,LUNCH BAG RED RETROSPOT,1,2020-01-01,119.04,NA
544770,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2020-01-01,99.12,NA
544770,22197,SMALL POPCORN HOLDER,2,2020-01-01,39.12,NA
544770,22629,SPACEBOY LUNCH BOX,1,2020-01-01,59.04,NA
544770,22630,DOLLY GIRL LUNCH BOX,1,2020-01-01,59.04,NA
544770,84988,SET OF 72 PINK HEART PAPER DOILIES,1,2020-01-01,90.00,NA
544770,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2020-01-01,99.12,NA
544771,22385,JUMBO BAG SPACEBOY DESIGN,2,2020-01-01,99.12,NA
544771,22386,JUMBO BAG PINK POLKADOT,4,2020-01-01,99.12,NA
544771,22469,HEART OF WICKER SMALL,1,2020-01-01,99.12,NA
544771,84946,ANTIQUE SILVER TEA GLASS ETCHED,1,2020-01-01,59.04,NA
544771,85099B,JUMBO BAG RED RETROSPOT,12,2020-01-01,99.12,NA
544771,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2020-01-01,99.12,NA
544771,20712,JUMBO BAG WOODLAND ANIMALS,6,2020-01-01,99.12,NA
544771,20725,LUNCH BAG RED RETROSPOT,2,2020-01-01,119.04,NA
544771,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,5,2020-01-01,99.12,NA
544771,21931,JUMBO STORAGE BAG SUKI,1,2020-01-01,99.12,NA
544772,21931,JUMBO STORAGE BAG SUKI,1,2020-01-01,99.12,NA
544772,22197,SMALL POPCORN HOLDER,7,2020-01-01,39.12,NA
544772,22383,LUNCH BAG SUKI DESIGN,1,2020-01-01,119.04,NA
544772,22386,JUMBO BAG PINK POLKADOT,1,2020-01-01,99.12,NA
544772,22469,HEART OF WICKER SMALL,1,2020-01-01,99.12,NA
544772,22630,DOLLY GIRL LUNCH BOX,1,2020-01-01,59.04,NA
544772,22659,LUNCH BOX I LOVE LONDON,2,2020-01-01,59.04,NA
544772,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2020-01-01,119.04,NA
544772,85099B,JUMBO BAG RED RETROSPOT,4,2020-01-01,99.12,NA
544772,85099C,JUMBO  BAG BAROQUE BLACK WHITE,4,2020-01-01,99.12,NA
544772,20712,JUMBO BAG WOODLAND ANIMALS,4,2020-01-01,99.12,NA
544772,20725,LUNCH BAG RED RETROSPOT,2,2020-01-01,119.04,NA
544772,21080,SET/20 RED RETROSPOT PAPER NAPKINS,2,2020-01-01,59.04,NA
544774,15036,ASSORTED COLOURS SILK FAN,12,2020-01-01,18.00,17711
544776,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2020-01-01,49.92,NA
544776,21213,PACK OF 72 SKULL CAKE CASES,4,2020-01-01,49.92,NA
544776,21232,STRAWBERRY CERAMIC TRINKET BOX,13,2020-01-01,78.96,NA
544776,21731,RED TOADSTOOL LED NIGHT LIGHT,9,2020-01-01,99.12,NA
544776,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,2020-01-01,119.04,NA
